ID beacon'a;Moc rozgÅ‚aszania;RSSI;Dystans;Czas;ID urzÄ…dzenia;Poziom baterii;;;;;Dystans;Przed odsianiem;Po odsianiu;Dystans;Odrzuconych;Wszystkich;Odrzuconych [%];Œr. RSSI;Œr. RSSI po odsianiu
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:52:36;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;15;2;41;4,88;-80,78;-80,67
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:52:36;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;Odsianych ³¹cznie;199;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:52:37;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:52:53;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:53:08;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:53:08;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:53:40;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:53:56;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:53:57;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:12;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:13;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:28;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:54:43;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:54:44;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:45;GT-I9515 - 1a88bbcf523c933c;36;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:00;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:55:16;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:55:16;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-60;-60;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:32;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:32;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:47;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:48;GT-I9515 - 1a88bbcf523c933c;35;;;;;0,3;-59;-59;;;;;;
