Liczba próbek;Moc rozg³aszania;RSSI;Odchylenie standardowe;Dystans;RSSI po odsianiu;A;A po odsianiu;A wg excela;A wg excela po odsianiu;;;n;n po odsianiu;Œr. N;Œr. N po odsianiu;N wg excela;n wg excela po odsianiu;;RSSI ze wzoru;;;;;B³¹d œredniokwadratowy;;;;;Œr. Wart. B³êdu;;;
121;-16;-70,27;0,45;0,30;-70,27;-77,62;-78,00;-79,358;-79,455;;;1,404708042;1,477832633;1,536950688;1,487406616;1,429675084;1,416780608;;n ;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu
33;-16;-75,30;5,06;0,50;-75,25;;;;;;;0,768899043;0,913530226;1,71144112;1,595774508;;;;-69,58125858;-70,22266695;-71,88253286;-72,04695533;;0,478128947;0,002506036;2,591474022;3,147885217;;12,2008283;12,43493752;10,98664162;11,40794726
35;-16;-78,91;3,85;0,75;-79,42;;;;;;;-1,037819567;-1,13901978;;;;;;-72,99096447;-73,52245993;-75,05424916;-75,1900654;;5,345648423;2,984394697;0,061892059;0,003592157;;;;;
34;-16;-77,62;1,58;1,00;-78,00;;;;;;;;;;;;;;-75,69740029;-76,14165297;-77,57178201;-77,68489221;;10,34835185;10,76774319;1,80231619;3,021286103;;;;;
33;-16;-78,45;1,00;1,50;-78,50;;Konwersja ln->log;;;;;0,475264019;0,283943679;;;;;;-77,61764706;-78;-79,358;-79,455;;0;0;3,02882836;2,117025;;;;;
24;-16;-81,38;3,07;2,00;-81,10;;2,302585093;;;;;1,24816563;1,028215839;;;;;;-80,32408288;-80,61919304;-81,87553286;-81,94982681;;3,495170173;4,490979128;11,7031548;11,90130502;;;;;
29;-16;-87,38;6,09;2,50;-87,22;;;;;;;2,453048971;2,317490582;;;;;;-82,24432965;-82,47754007;-83,66175084;-83,7199346;;0,755734039;1,910758752;5,229229423;6,889031753;;;;;
34;-16;-93,50;6,35;3,00;-93,72;;;;;;;3,328787553;3,294759947;;;;;;-83,73378876;-83,91898602;-85,04724915;-85,09293687;;13,28982762;10,91136944;5,438509397;4,533856097;;;;;
37;-16;-87,78;5,88;3,50;-87,85;;;;;;;1,868541413;1,810975903;;;;;;-84,95076547;-85,09673311;-86,1792837;-86,21476141;;73,0894111;74,36073189;53,59288714;56,32860626;;;;;
23;-16;-95,70;8,64;4,00;-96,09;;;;;;;3,002691655;3,004834959;;;;;;-85,97970461;-86,09250409;-87,13640527;-87,16325055;;3,254701661;3,09913875;0,419098938;0,475673167;;;;;
39;-16;-84,62;11,11;4,50;-84,69;;;;;;;1,071280389;1,023786265;;;;;;-86,87101224;-86,95508014;-87,96550169;-87,9848692;;77,87426998;83,46337059;59,75522653;65,70788265;;;;;
33;-16;-85,73;1,22;5,00;-85,78;;;;;;;1,160225134;1,113245197;;;;;;-87,65720129;-87,71592614;-88,69681656;-88,70958822;;9,252648652;9,171364915;16,65808669;16,17719367;;;;;
35;-16;-88,66;3,54;5,50;-88,41;;;;;;;1,491092941;1,406305971;;;;;;-88,36047135;-88,39652609;-89,351;-89,35787148;;6,933734993;6,839669009;13,13139933;12,79222118;;;;;
15;-16;-92,60;6,68;6,00;-92,60;;;;;;;1,925377995;1,876241925;;;;;;-88,99665651;-89,01220362;-89,9427809;-89,94431501;;0,115269521;0,360526895;1,652865189;2,348710439;;;;;
28;-16;-90,89;3,63;6,50;-90,89;;;;;;;1,633041206;1,586006311;;;;;;-89,57744806;-89,57427318;-90,48303454;-90,47969601;;9,135820246;9,155022797;4,48154274;4,495688992;;;;;
33;-16;-85,88;5,27;7,00;-85,69;;;;;;;0,977536384;0,909657772;;;;;;-90,11172449;-90,09132705;-90,98001972;-90,97219879;;0,610168223;0,642450494;0,007597314;0,006295098;;;;;
80;-16;-95,59;9,98;7,50;-94,14;;;;;;;2,053553699;1,844442289;;;;;;-90,6063872;-90,57004416;-91,44015612;-91,42818515;;22,35019535;23,83923744;30,92881666;32,95546596;;;;;
21;-16;-97,71;3,97;8,00;-98,53;;;;;;;2,225319619;2,27289817;;;;;;-91,06690717;-91,01571912;-91,86853285;-91,85269829;;20,43575954;9,761130995;13,83071663;5,231749133;;;;;
62;-16;-92,19;5,67;8,50;-92,50;;;;;;;1,568281097;1,560114562;;;;;;-91,49769483;-91,43262021;-92,26925253;-92,24980381;;38,64600223;50,32051694;29,64838635;39,39460268;;;;;
65;-16;-93,18;2,92;9,00;-93,49;;;;;;;1,631342994;1,623466061;;;;;;-91,90235763;-91,82423859;-92,64567081;-92,6228271;;0,084792054;0,456653484;0,204414685;0,015086497;;;;;
95;-16;-91,67;1,75;9,50;-91,62;;;;;;;1,437628904;1,393405646;;;;;;-92,28388388;-92,19346622;-93,0005674;-92,97452282;;0,811317252;1,685679129;0,03387366;0,267579068;;;;;
71;-16;-90,14;1,90;10,00;-90,04;;;;;;;1,252319801;1,203571429;;;;;;-92,64477674;-92,54272559;-93,33627078;-93,30719844;;0,9430207;0,844689067;2,764194093;2,834315426;;;;;
70;-16;-98,47;8,45;10,50;-98,47;;;;;;;2,042107328;2,004583112;;;;;;-92,98715394;-92,87406616;-93,65475084;-93,62280608;;8,101474189;8,056241348;12,34753377;12,86722752;;;;;
56;-16;-95,96;2,99;11,00;-95,75;;;;;;;1,761740688;1,703977596;;;;;;-93,31282302;-93,18923719;-93,95768897;-93,92301196;;26,61121124;27,89266882;20,37384517;20,68045;;;;;
