ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;Dystans;RSSI;Outlier
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:07;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:08;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:09;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:24;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:40;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:40;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:55;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:12;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:12;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:13;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:00;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:00;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:01;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:16;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-53;-53
