sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:48:49","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:48:50","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:48:52","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:48:52","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:48:53","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:48:53","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:48:54","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:48:54","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:48:55","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:48:57","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:48:58","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:48:59","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:48:59","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:49:01","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:49:02","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:49:03","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:04","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:49:05","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:05","GT-I9515 - 1a88bbcf523c933c","38"
