ID beacon'a;Moc rozgÅ‚aszania;RSSI;Dystans;Czas;ID urzÄ…dzenia;Poziom baterii;;;;;Dystans;Przed odsianiem;Po odsianiu;Dystans;Odrzuconych;Wszystkich;Odrzuconych [%];Œr. RSSI;Œr. RSSI po odsianiu
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;0,3;0;121;0,00;-70,27272727;-70,27272727
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:30;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;0,5;1;33;3,03;-75,3030303;-75,25
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:31;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;0,75;9;35;25,71;-78,91428571;-79,42307692
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:48:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;1;13;34;38,24;-77,61764706;-78
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:48:46;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;1,5;1;33;3,03;-78,45454545;-78,5
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:01;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;2;3;24;12,50;-81,375;-81,0952381
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:02;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;2,5;2;29;6,90;-87,37931034;-87,22222222
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:03;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;3;9;34;26,47;-93,5;-93,72
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:18;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;3,5;3;37;8,11;-87,78378378;-87,85294118
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;4;1;23;4,35;-95,69565217;-96,09090909
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:35;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;4,5;7;39;17,95;-84,61538462;-84,6875
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:50;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;5;1;33;3,03;-85,72727273;-85,78125
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:51;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70;-70;5,5;1;35;2,86;-88,65714286;-88,41176471
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:51;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;6;0;15;0,00;-92,6;-92,6
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:06;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;6,5;0;28;0,00;-90,89285714;-90,89285714
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:06;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;7;1;33;3,03;-85,87878788;-85,6875
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:07;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;7,5;30;80;37,50;-95,5875;-94,14
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:22;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;8;2;21;9,52;-97,71428571;-98,52631579
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:23;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;8,5;6;62;9,68;-92,19354839;-92,5
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;9;4;65;6,15;-93,18461538;-93,49180328
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:38;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71;-71;9,5;2;95;2,11;-91,67368421;-91,62365591
