Liczba próbek;Moc rozg³aszania;RSSI;Odchylenie standardowe;Dystans;RSSI po odsianiu;A;A po odsianiu;A wg excela;A wg excela po odsianiu;;;n;n po odsianiu;Œr. N;Œr. N po odsianiu;N wg excela;n wg excela po odsianiu;;RSSI ze wzoru;;;;;B³¹d œredniokwadratowy;;;;;Œr. Wart. B³êdu;;;
132;-12;-66,08;0,3;0,3;-66;-73,57;-73,66;-75,58;-75,56;;;1,43;1,46;1,58;1,55;1,44;1,43;;n ;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu
22;-12;-71,77;5,71;0,5;-72;;;;;;;0,6;0,55;1,77;1,68;;;;-65,32;-65,55;-68,06;-68,07;;0,59;0,21;3,91;4,28;;13,81;13,62;12,37;12,19
28;-12;-74,82;3,36;0,75;-75;;;;;;;-1;-1,07;;;;;;-68,82;-68,99;-71,25;-71,25;;8,73;9,07;0,27;0,57;;;;;
37;-12;-73,57;1,39;1;-73,66;;;;;;;;;;;;;;-71,6;-71,72;-73,78;-73,77;;10,4;10,76;1,08;1,52;;;;;
33;-12;-74,15;0,81;1,5;-74,27;;Konwersja ln->log;;;;;0,33;0,35;;;;;;-73,57;-73,66;-75,58;-75,56;;0;0;4,03;3,61;;;;;
31;-12;-78,39;5,15;2;-77,71;;2,3;;;;;1,6;1,35;;;;;;-76,35;-76,39;-78,11;-78,08;;4,82;4,5;15,65;14,52;;;;;
35;-12;-83,77;5,6;2,5;-83,56;;;;;;;2,56;2,49;;;;;;-78,32;-78,33;-79,9;-79,87;;0;0,38;2,3;4,63;;;;;
33;-12;-89,79;6,24;3;-89,93;;;;;;;3,4;3,41;;;;;;-79,85;-79,83;-81,3;-81,25;;15,4;13,91;6,13;5,32;;;;;
39;-12;-84,23;5,77;3,5;-84,81;;;;;;;1,96;2,05;;;;;;-81,1;-81,06;-82,43;-82,39;;75,55;78,68;54,09;56,86;;;;;
31;-12;-90,81;7,07;4;-90,04;;;;;;;2,86;2,72;;;;;;-82,15;-82,1;-83,4;-83,35;;4,32;7,38;0,7;2,15;;;;;
33;-12;-80,94;9,88;4,5;-80,94;;;;;;;1,13;1,11;;;;;;-83,07;-83;-84,23;-84,18;;59,89;49,61;43,26;34,37;;;;;
40;-12;-81,33;1,23;5;-81,57;;;;;;;1,11;1,13;;;;;;-83,87;-83,79;-84,96;-84,91;;8,62;8,12;16,2;15,76;;;;;
38;-12;-84,76;4,07;5,5;-84,46;;;;;;;1,51;1,46;;;;;;-84,6;-84,5;-85,62;-85,57;;10,7;8,6;18,47;15,98;;;;;
27;-12;-90,96;8,12;6;-90,96;;;;;;;2,24;2,22;;;;;;-85,25;-85,14;-86,22;-86,16;;0,24;0,47;2,11;2,88;;;;;
27;-12;-89,19;2,1;6,5;-88,88;;;;;;;1,92;1,87;;;;;;-85,85;-85,73;-86,76;-86,7;;26,18;27,41;17,66;18,18;;;;;
35;-12;-82,11;7,36;7;-81,94;;;;;;;1,01;0,98;;;;;;-86,39;-86,27;-87,26;-87,2;;7,79;6,8;3,71;2,82;;;;;
81;-12;-92,11;10,44;7,5;-90,94;;;;;;;2,12;1,97;;;;;;-86,9;-86,77;-87,72;-87,66;;22,93;23,28;31,45;32,68;;;;;
