Liczba próbek;Moc rozg³aszania;RSSI;Odchylenie standardowe;Dystans;RSSI po odsianiu;A;A po odsianiu;A wg excela;A wg excela po odsianiu;;;n;n po odsianiu;Œr. N;Œr. N po odsianiu;N wg excela;n wg excela po odsianiu;;RSSI ze wzoru;;;;;B³¹d œredniokwadratowy;;;;;Œr. Wart. B³êdu;;;
66;-12;-95,65;5,02;8;-96,33;;;;;;;2,45;2,51;;;;;;-87,38;-87,23;-88,15;-88,09;;22,43;13,73;15,67;8,12;;;;;
66;-12;-88,53;7,25;8,5;-88,35;;;;;;;1,61;1,58;;;;;;-87,82;-87,67;-88,56;-88,49;;61,37;75,13;50,35;61,55;;;;;
62;-12;-89,02;2,33;9;-88,92;;;;;;;1,62;1,6;;;;;;-88,23;-88,07;-88,93;-88,87;;0,09;0,08;0,16;0,27;;;;;
101;-12;-87,45;1,8;9,5;-87,26;;;;;;;1,42;1,39;;;;;;-88,62;-88,46;-89,29;-89,22;;0,15;0,21;0,08;0,09;;;;;
75;-12;-85,91;1,81;10;-85,96;;;;;;;1,23;1,23;;;;;;-89;-88,82;-89,63;-89,56;;2,4;2,44;4,77;5,27;;;;;
85;-12;-94,41;8,62;10,5;-94,34;;;;;;;2,04;2,03;;;;;;-89,35;-89,17;-89,95;-89,88;;11,83;10,33;16,34;15,37;;;;;
60;-12;-91,83;2,87;11;-91,83;;;;;;;1,75;1,75;;;;;;-89,68;-89,5;-90,25;-90,18;;22,38;23,47;17,29;17,33;;;;;
58;-12;-88,88;3,11;11,5;-88,84;;;;;;;1,44;1,43;;;;;;-90;-89,81;-90,54;-90,47;;3,36;4,09;1,66;1,86;;;;;
81;-12;-87,28;1,72;12;-87,38;;;;;;;1,27;1,27;;;;;;-90,3;-90,11;-90,82;-90,74;;2,03;1,61;3,77;3,62;;;;;
81;-12;-91,44;4,51;12,5;-91,51;;;;;;;1,63;1,63;;;;;;-90,6;-90,4;-91,09;-91,01;;10,97;9,08;14,46;13,15;;;;;
45;-12;-89,62;1,96;13;-89,64;;;;;;;1,44;1,43;;;;;;-90,88;-90,67;-91,34;-91,26;;0,32;0,71;0,01;0,06;;;;;
49;-12;-89,71;0,68;13,5;-89,76;;;;;;;1,43;1,42;;;;;;-91,14;-90,94;-91,59;-91,51;;2,32;1,68;3,86;3,48;;;;;
69;-12;-88,22;1,84;14;-88,32;;;;;;;1,28;1,28;;;;;;-91,4;-91,19;-91,82;-91,74;;2,85;2,06;4,44;3,95;;;;;
63;-12;-96,11;8,03;14,5;-95,98;;;;;;;1,94;1,92;;;;;;-91,65;-91,44;-92,05;-91,97;;11,8;9,73;14,68;13,33;;;;;
;;;;;-87,63;;;;;;;;;;;;;;-91,89;-91,67;-92,27;-92,19;;17,79;18,58;14,77;14,41;;;;;
