ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:10;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:25;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-90;0,3;03-12-2015 14:48:42;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-90
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:43;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:57;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:58;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:48:59;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:49:14;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:49:14;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:49:30;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:49:31;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:02;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-87;0,3;03-12-2015 14:50:02;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-87
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:18;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:19;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:33;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:34;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:35;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:35;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:50;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:50;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:50:51;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:05;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:06;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-89;0,3;03-12-2015 14:51:22;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-89
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:38;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:38;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:54;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:54;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:51:55;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:52:10;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-87;0,3;03-12-2015 14:52:11;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-87
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:52:25;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:52:26;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:52:42;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:53:15;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-89;0,3;03-12-2015 14:53:15;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-89
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:53:30;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:53:30;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:53:31;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:53:46;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-84;0,3;03-12-2015 14:53:47;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-84
F4:1C:50:21:23:FD;-30;-89;0,3;03-12-2015 14:53:47;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-89
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:03;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:18;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:19;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:34;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-87;0,3;03-12-2015 14:54:35;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-87
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:50;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:54:50;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:05;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-89;0,3;03-12-2015 14:55:07;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-89
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:22;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:23;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:38;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:38;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
F4:1C:50:21:23:FD;-30;-88;0,3;03-12-2015 14:55:39;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-88
