ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:16;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:48:16;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:17;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:32;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:32;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:48;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:48:48;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:48:49;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:04;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:49:05;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:19;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:49:20;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:21;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:49:21;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:35;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:49:37;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:37;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:52;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:49:53;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:08;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:08;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:50:24;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:50:24;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:41;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:50:41;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:55;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:57;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:50:57;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:51:11;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:51:43;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:51:44;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:51:44;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:51:45;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:51:59;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:52:16;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:52:17;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-67;0,3;03-12-2015 14:52:32;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-67
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:52:32;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:52:33;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:03;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:05;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:05;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:19;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:20;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:20;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:21;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:52;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:52;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:53:53;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:08;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:08;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:09;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:24;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:24;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:25;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:25;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:40;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:40;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:41;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:55;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:56;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:54:57;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:55:12;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:55:13;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:55:28;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:55:29;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
F4:1C:50:21:23:FD;-12;-66;0,3;03-12-2015 14:55:43;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-66
