ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:13;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:48:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-75
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:59;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:16;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:49:17;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-75
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:32;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:49;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:03;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:05;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:21;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:36;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-74
