ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:28;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:54:43;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:54:44;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:54:45;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:00;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:55:16;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:55:16;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:32;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:32;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:47;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:48;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:55:49;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:04;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:05;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:20;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:21;GT-I9515 - 1a88bbcf523c933c;35;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:56:51;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:56:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:08;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:09;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:57:23;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-59
