ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:02;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:03;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:17;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:18;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:34;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:35;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:48:50;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:05;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:07;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:22;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:22;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:39;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:49:54;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:50:10;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:50:11;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
F4:1C:50:21:23:FD;-8;-63;0,3;03-12-2015 14:50:11;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-63
