ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:52:56;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:52:56;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:52:57;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:11;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:12;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:12;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:13;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:29;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:44;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:44;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:53:45;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:00;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:16;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:17;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:17;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:33;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:54:48;GT-I9515 - 1a88bbcf523c933c;36;;;;;;0,3;-53;;;
